"Date","Price","Open","High","Low","Vol.","Change %"
"07/23/2014","143.07","144.79","145.02","142.73","814.80K","-1.15%"
"07/22/2014","144.73","145.59","145.59","143.82","624.02K","-0.23%"
"07/21/2014","145.07","143.30","145.87","142.79","928.21K","0.59%"
"07/20/2014","144.22","148.44","148.44","138.16","1.96M","-8.01%"
"07/17/2014","156.78","156.38","157.75","154.32","474.81K","0.85%"
"07/16/2014","155.46","156.89","156.89","153.24","737.61K","0.55%"
"07/15/2014","154.61","157.23","158.15","151.41","1.12M","-1.77%"
"07/14/2014","157.40","159.29","159.29","156.89","744.60K","-0.51%"
"07/13/2014","158.20","159.86","159.86","158.15","289.25K","-0.54%"
"07/10/2014","159.06","159.12","159.75","158.09","319.66K","0.47%"
"07/09/2014","158.32","158.72","159.57","158.09","289.60K","0.00%"
"07/08/2014","158.32","159.29","159.97","158.03","533.99K","-0.47%"
"07/07/2014","159.06","159.92","159.92","158.15","379.59K","-0.36%"
"07/06/2014","159.63","159.12","160.20","159.00","293.52K","-0.08%"
"07/03/2014","159.75","159.86","160.32","158.66","376.88K","-0.11%"
"07/02/2014","159.92","160.77","161.80","159.57","528.88K","-0.74%"
"06/30/2014","161.12","158.09","162.09","157.75","1.02M","1.85%"
"06/29/2014","158.20","157.92","159.40","157.86","679.74K","0.22%"
"06/26/2014","157.86","158.83","159.57","157.52","635.25K","-0.65%"
"06/25/2014","158.89","158.55","160.49","157.86","1.20M","0.54%"
"06/24/2014","158.03","158.03","158.72","157.06","885.21K","0.77%"
"06/23/2014","156.83","157.63","158.32","156.38","709.18K","-0.25%"
"06/22/2014","157.23","159.00","159.00","156.89","556.94K","-0.80%"
"06/19/2014","158.49","158.38","159.29","157.86","582.93K","-0.11%"
"06/18/2014","158.66","158.77","159.75","158.26","387.86K","0.00%"
"06/17/2014","158.66","161.57","161.57","158.03","728.41K","-2.01%"
"06/16/2014","161.91","159.86","162.43","159.52","856.68K","1.35%"
"06/15/2014","159.75","161.57","161.57","159.12","400.17K","-1.30%"
"06/12/2014","161.86","161.63","163.57","160.54","684.76K","0.00%"
"06/11/2014","161.86","161.00","164.31","160.94","2.05M","0.89%"
"06/10/2014","160.43","155.29","161.12","155.29","1.42M","3.04%"
"06/09/2014","155.69","155.86","156.26","154.84","580.98K","0.29%"
"06/08/2014","155.24","155.63","156.43","153.01","779.61K","-1.05%"
"06/05/2014","156.89","157.58","158.09","156.66","718.11K","-0.32%"
"06/04/2014","157.40","156.72","159.00","156.72","561.63K","0.43%"
"06/03/2014","156.72","158.83","159.80","156.09","594.59K","-1.01%"
"06/02/2014","158.32","153.35","159.86","153.35","1.28M","3.05%"
"06/01/2014","153.64","152.61","154.15","152.61","477.00K","-0.33%"
"05/29/2014","154.15","155.81","155.81","153.01","777.49K","-0.52%"
"05/28/2014","154.95","154.66","155.29","153.58","464.30K","0.74%"
"05/27/2014","153.81","152.10","154.09","152.04","604.33K","1.20%"
"05/26/2014","151.98","149.58","152.44","148.33","837.92K","2.46%"
"05/25/2014","148.33","145.64","149.53","144.50","501.36K","1.88%"
"05/22/2014","145.59","149.70","150.61","145.02","1.37M","-2.60%"
"05/21/2014","149.47","151.70","152.44","149.24","1.33M","-0.80%"
"05/20/2014","150.67","152.15","152.44","150.38","419.69K","-0.75%"
"05/19/2014","151.81","153.41","153.98","151.18","372.94K","-0.67%"
"05/18/2014","152.84","153.01","154.72","152.38","328.80K","0.19%"
"05/15/2014","152.55","155.29","156.43","151.70","1.10M","-2.05%"
"05/14/2014","155.75","157.58","158.60","155.46","863.39K","-1.44%"
"05/12/2014","158.03","158.15","159.29","157.18","618.61K","0.03%"
"05/11/2014","157.98","159.00","159.29","157.58","429.04K","-0.68%"
