"Date","Price","Open","High","Low","Vol.","Change %"
"02/08/2016","4,560.76","4,560.76","4,560.76","4,560.76","","-0.43%"
"02/07/2016","4,580.49","4,580.49","4,580.49","4,580.49","","0.21%"
"02/04/2016","4,571.11","4,571.11","4,571.11","4,571.11","","-0.05%"
"02/03/2016","4,573.33","4,573.33","4,573.33","4,573.33","","-0.39%"
"02/02/2016","4,591.09","4,591.09","4,591.09","4,591.09","","0.67%"
"02/01/2016","4,560.42","4,560.42","4,560.42","4,560.42","","0.43%"
"01/31/2016","4,540.89","4,540.89","4,540.89","4,540.89","","-0.71%"
"01/28/2016","4,573.58","4,573.58","4,573.58","4,573.58","","-0.27%"
"01/27/2016","4,585.98","4,585.98","4,585.98","4,585.98","","-0.52%"
"01/26/2016","4,610.11","4,610.11","4,610.11","4,610.11","","-0.22%"
"01/25/2016","4,620.32","4,620.32","4,620.32","4,620.32","","-0.13%"
"01/24/2016","4,626.13","4,626.13","4,626.13","4,626.13","","-0.68%"
"01/21/2016","4,657.94","4,657.94","4,657.94","4,657.94","","-0.25%"
"01/20/2016","4,669.51","4,669.51","4,669.51","4,669.51","","-0.60%"
"01/19/2016","4,697.50","4,697.50","4,697.50","4,697.50","","0.22%"
"01/18/2016","4,687.20","4,687.20","4,687.20","4,687.20","","0.26%"
"01/17/2016","4,674.82","4,674.82","4,674.82","4,674.82","","-0.43%"
"01/14/2016","4,694.95","4,694.95","4,694.95","4,694.95","","0.19%"
"01/13/2016","4,686.05","4,686.05","4,686.05","4,686.05","","0.44%"
"01/12/2016","4,665.43","4,665.43","4,665.43","4,665.43","","0.04%"
"01/11/2016","4,663.62","4,663.62","4,663.62","4,663.62","","-0.24%"
"01/10/2016","4,674.83","4,674.83","4,674.83","4,674.83","","-0.03%"
"01/07/2016","4,676.08","4,676.08","4,676.08","4,676.08","","-0.08%"
"01/06/2016","4,679.80","4,679.80","4,679.80","4,679.80","","0.79%"
"01/05/2016","4,643.25","4,643.25","4,643.25","4,643.25","","0.55%"
"01/04/2016","4,617.73","4,617.73","4,617.73","4,617.73","","-0.14%"
"01/03/2016","4,624.01","4,624.01","4,624.01","4,624.01","","0.41%"
"12/30/2015","4,604.91","4,604.91","4,604.91","4,604.91","","0.18%"
"12/29/2015","4,596.81","4,596.81","4,596.81","4,596.81","","0.10%"
"12/28/2015","4,592.33","4,592.33","4,592.33","4,592.33","","-0.22%"
"12/27/2015","4,602.51","4,602.51","4,602.51","4,602.51","","-0.13%"
"12/24/2015","4,608.32","4,608.32","4,608.32","4,608.32","","0.43%"
"12/23/2015","4,588.74","4,588.74","4,588.74","4,588.74","","-0.11%"
"12/22/2015","4,593.73","4,593.73","4,593.73","4,593.73","","0.32%"
"12/21/2015","4,578.87","4,578.87","4,578.87","4,578.87","","1.49%"
"12/20/2015","4,511.53","4,511.53","4,511.53","4,511.53","","-0.21%"
"12/17/2015","4,520.87","4,520.87","4,520.87","4,520.87","","0.15%"
"12/15/2015","4,513.97","4,513.97","4,513.97","4,513.97","","-0.44%"
"12/14/2015","4,533.91","4,533.91","4,533.91","4,533.91","","-0.19%"
"12/13/2015","4,542.73","4,542.73","4,542.73","4,542.73","","-0.89%"
"12/10/2015","4,583.41","4,583.41","4,583.41","4,583.41","","-0.09%"
"12/09/2015","4,587.37","4,587.37","4,587.37","4,587.37","","-0.13%"
"12/08/2015","4,593.48","4,593.48","4,593.48","4,593.48","","-0.32%"
"12/07/2015","4,608.04","4,608.04","4,608.04","4,608.04","","-1.00%"
"12/06/2015","4,654.74","4,654.74","4,654.74","4,654.74","","0.30%"
"12/03/2015","4,641.03","4,641.03","4,641.03","4,641.03","","0.47%"
"12/02/2015","4,619.51","4,619.51","4,619.51","4,619.51","","-0.05%"
"12/01/2015","4,621.67","4,621.67","4,621.67","4,621.67","","0.89%"
"11/30/2015","4,580.99","4,580.99","4,580.99","4,580.99","","0.01%"
